Variable	en	fr_BE	nl_BE
_age_years_old_patient_from_locality_	{age} years old patient, from {zipcode} {locality}	Un patient de {age} ans, de {zipcode} {locality}	{age} jaar oud patiënt, van {zipcode} {locality}
_emergencies	{count} emergencies	{count} urgences	{count} spoedgevallen
_years_old	{years} years old	{years} ans	{years} jaar oud
Accept	Accept	Accepter	Aanvaarden
Account	Account	Compte	Profiel
Account_created_with_success	Account created with success	Compte créé avec succès	Profiel aangemaakt
Add_another_pratician	Add another practitioner	Ajouter un autre praticien	Nieuwe arts toevoegen
Add_an_office	Add an office	Ajouter un cabinet	Praktijk toevoegen
Add_Edit_Calendars	Add/Edit Calendars	Ajouter/Editer Calendriers	Kalenders toevoegen/bewerken
Age	Age	Age	Leeftijd
Agenda_Synchronization	Agenda Synchronization	Synchronisation Agenda	Agenda Synchronization
AGENDA_SYNCHRONIZATION_HTML	<p class=\"font-weight-bold\">Would you want to synchronize your Google Agenda with Tooddoc?</p><p class=\"mb-0\">Synchronize your agenda and we will automatically add your availabilities depending on your schedule.</p>	<p class=\"font-weight-bold\">Voulez-vous synchroniser votre Google Agenda avec Tooddoc?</p><p class=\"mb-0\">Synchronisez votre agenda et nous ajouterons automatiquement vos disponibilités selon votre horaire.</p>	<p class=\"font-weight-bold\">Zou u graag uw Google Agenda met Tooddoc synchroniseren?</p><p class=\"mb-0\">Door te synchroniseren kunnen wij uw beschikbaarheden automatisch updaten.</p>
An_error_occured__please_try_again_	An error occured, please try again.	Une erreur s'est produite, veuillez réessayer.	Er is iets fout gebeurd, probeer opnieuw aub.
Are_you_sure_you_want_to_cancel_this_invitation_	Are you sure you want to cancel this invitation?	Etes-vous certain de vouloir annuler cette invitation?	Bent u zeker dat u dit voorstel wilt annuleren?
Authorize	Authorize	Autoriser	Toestaan
Availabilities	Availabilities	Disponibilités	Beschikbaarheden
Avatar	Avatar	Avatar	Avatar
Calendars	Calendars	Calendriers	Kalenders
CALENDARS__MANAGE_ALERT	Your availabilities are synchronized with your Google Agenda. You can manage how this works below.	Vos disponibilités sont synchronisées avec votre Google Agenda. Vous pouvez gérer le fonctionnement ci-dessous.	Uw beschikbaarheden worden gesynchroniseerd met uw Google Agenda. U kan dit hieronder beheren.
CALENDARS__SYNC_ALERT_TEXT	Synchronize your agenda and we will automatically add your availabilities depending on your schedule.	Synchronisez votre agenda et nous ajouterons automatiquement vos disponibilités selon votre horaire.	Synchroniseer Tooddoc met uw agenda om uw beschikbaarheden automatisch te laten verschijnen, afhankelijk van uw uurrooster.
CALENDARS__SYNC_ALERT_TITLE	Would you want to synchronize your Google Agenda with Tooddoc?	Voulez-vous synchroniser votre Google Agenda avec Tooddoc?	Zou u graag uw Google Agenda synchroniseren met Tooddoc?
CALENDARS__SYNC_NOT_AVAILABLE_ON_MOBILE	<p>You need a computer to activate the Google Calendar synchronisation - afterwards it will be visible on your phone too.</p>	<p>Passez par le site web sur votre ordinateur pour activer la synchronisation Google Calendar.</p>	<p>U moet de Google Calendar vanuit uw computer synchroniseren - daarna lukt het op mobiel ook.</p>
CALENDARS__SYNC_STEP_1_HTML	<p>First we need you to authorize Tooddoc to access your Google Agenda calendars & events.</p><p class=\"mb-0\">Click \"Authorize\" & follow the instructions.</p>	<p>D'abord nous avons besoin de votre autorisation pour accéder à votre calendrier et vos événements Google.</p><p class=\"mb-0\">Cliquez \"autoriser\" et suivez les instructions.</p>	<p>Eerst hebben wij uw toestemming nodig om toegang te krijgen tot uw Google Agenda kalenders en evenementen.</p><p class=\"mb-0\">Klik \"toestaan\" en volg de instructies.</p>
CALENDARS__SYNC_STEP_4_HTML	<p>Thanks you! You agendas will start to synchronize in a few minutes.</p><p class=\"mb-0\">Don't forget that you won't be able to manually add or remove availabilities from Tooddoc. If you want to make yourself unavailable, add an event in your Google Agenda.</p>	<p>Merci! Vos agendas se synchroniseront dans quelques minutes.</p><p class=\"mb-0\">N'oubliez pas que vous n'êtes désormais plus capable de changer vos disponibilités manuellement depuis l'interface Tooddoc. Si vous souhaitez vous rendre indisponible, ajoutez un événement dans votre Google Agenda.</p>	<p>Bedankt! Uw kalender zal binnen een paar minuten synchroniseren.</p><p class=\"mb-0\">Vergeet niet dat u binnen Tooddoc uw beschikbaarheden niet meer kan beheren. Als u onbeschikbaar wenst te worden op een bepaalde tijdstip, moet u een evenement toevoegen in uw Google Agenda.</p>
CALENDARS__UNLINK_WARNING	Are you sure that you want to unlink this account? This will disable the automatic availabilities synchronization for all its synchronized calendars.	Etes-vous certain que vous ne souhaitez plus synchroniser ce compte? Cela va arrêter la synchronisation automatique de vos disponibilités pour tous les calendriers liés.	Bent u zeker dat u deze account wilt verwijderen? Het zal de synchronisatie en het automatisch detecteren van uw beschikbaarheden annuleren.
Cancel	Cancel	Annuler	Annuleren
Cancel_an_Appointment_Invitation	Cancel an Appointment Invitation	Annuler une invitation de rendez-vous	Annuleer een voorgestelde afspraak
Cancelled	Cancelled	Annulé	Geannuleerd
Cancelled_By_Patient	Cancelled By Patient	Annulé par le patient	Geannuleerd door de patiënt
Change_avatar	Change avatar	Changer d'avatar	Avatar veranderen
Close	Close	Fermer	Sluiten
Confirm	Confirm	Confirmer	Bevestigen
Confirmed	Confirmed	Confirmé	Bevestigd
Connect_My_Google_Agenda	Connect My Google Agenda	Connecter mon Google Agenda	Verbind mijn Google Agenda
Connect_your_Google_Agenda_with_Tooddoc	Connect your Google Agenda with Tooddoc	Connecter mon Google Agenda avec Tooddoc	Verbind uw Google Agenda met Tooddoc
Continue	Continue	Continuer	Verder
Country	Country	Pays	Land
Country_be	Belgium	Belgique	België
Create	Create	Créer	Aanmaken
Create_a_new_office	Create a new office	Ajouter un nouveau cabinet	Nieuwe ligging registreren
Dashboard	Dashboard	Tableau de bord	Dashboard
Declined	Declined	Refusé	Geweigerd
Delete_office	Delete office	Supprimer un cabinet	Praktijk verwijderen
DELETE_OFFICE_HTML	<p>In order to delete an office of yours, please contact an administrator.</p>	<p>Afin de supprimer un de vos cabinets, veuillez contacter un administrateur.</p>	<p>Om een praktijk te verwijderen, gelieve een admin te contacteren.</p>
Delete_this_office	Delete this office	Supprimer ce cabinet	Deze praktijk verwijderen
Details	Details	Détails	Details
Dismiss	Dismiss	Ne plus afficher	Niet meer weergeven
Edit	Edit	Editer	Bewerken
Edit_my_offices	Edit my offices	Editer mes cabinets	Bewerk mijn praktijken
Edit_office	Edit office	Editer cabinet	Praktijk bewerken
Email_address	Email address	Adresse email	Email adres
Emergencies	Emergencies	Urgences	Spoedgevallen
Emergency_accepted	Emergency accepted	Urgence acceptée	Spoedgeval aanvaard
End	End	Fin	Einde
First_name	First name	Prénom	Voornaam
Finish	Finish	Terminer	Beeïndigen
FORMAT_DATE	MMMM Do	MMMM Do	MMMM Do
FORMAT_DATE_TIME	MMMM Do HH:mm	MMMM Do HH:mm	MMMM Do HH:mm
FORMAT_TIME	HH:mm	HH:mm	HH:mm
Friday	Friday	Vendredi	Vrijdag
Geocoding_error_zero_results	We did not find your address. Please check again.	Nous n'avons pas trouvé votre adresse. Veuillez vérifer.	We hebben uw adres niet gevonden. Gelieve te controleren.
Go_back	Go back	Retour	Terug
I_accept_the_terms_of_use_and_the_privacy_policy_html	I accept the <a href=\"https://tooddoc.com/en/terms-of-use\" target=\"_blank\">terms of use</a> & <a href=\"https://tooddoc.com/en/privacy-policy\" target=\"_blank\">privacy policy</a>	J'accepte les conditions <a href=\"https://tooddoc.com/en/terms-of-use\" target=\"_blank\">d'utilisation</a> & <a href=\"https://tooddoc.com/en/privacy-policy\" target=\"_blank\">de vie privée</a>	Ik aanvaard de <a href=\"https://tooddoc.com/en/terms-of-use\" target=\"_blank\">gebruiksvoorwaarden</a> & <a href=\"https://tooddoc.com/en/privacy-policy\" target=\"_blank\">het privacybeleid</a>
I_accept_to_receive_email_notifications_for_new_emergencies_near_this_office	I accept to receive email notifications for new emergencies near this office	J'accepte de recevoir des emails à propos des urgences près de ce cabinet	Ik word gewaarschuwd voor spoedgevallen dicht bij deze praktijk
I_am_regulated	I am regulated	Je suis conventionné	Ik ben een fondsdokter
Inami	INAMI	INAMI	INAMI
Invitation_cancelled_with_success	Invitation cancelled with success	Invitation effectivement annulée	Voorstel geannuleerd
In_which_calendar_should_Tooddoc_write_the_appointments_you_ll_get_through_our_platform_	In which calendar should Tooddoc write the appointments you'll get through our platform?	Dans quel calendrier voudriez-vous que Tooddoc écrive les rendez-vous qui seront réservés via la plateforme?	In welke kalender moet Tooddoc uw nieuwe afspraken opnemen?
